File Path,Label
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_7.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_5.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_4.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_0.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_1.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_3.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_2.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_14.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_15.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_17.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_16.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_12.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_13.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_11.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_10.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_18.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_19.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_9.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.50.57/aug_8.png,Screenshot 2024-08-05 at 17.50.57
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_6.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_7.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_5.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_4.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_0.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_1.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_3.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_2.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_14.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_15.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_17.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_16.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_12.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_13.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_11.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_10.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_18.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_19.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_9.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.47.14/aug_8.png,Screenshot 2024-08-05 at 17.47.14
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_6.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_7.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_5.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_4.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_0.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_1.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_3.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_2.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_14.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_15.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_17.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_16.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_12.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_13.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_11.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_10.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_18.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_19.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_9.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.53.48/aug_8.png,Screenshot 2024-08-05 at 17.53.48
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_6.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_7.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_5.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_4.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_0.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_1.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_3.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_2.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_14.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_15.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_17.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_16.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_12.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_13.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_11.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_10.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_18.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_19.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_9.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.21.33/aug_8.png,Screenshot 2024-08-05 at 17.21.33
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_6.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_7.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_5.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_4.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_0.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_1.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_3.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_2.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_14.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_15.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_17.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_16.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_12.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_13.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_11.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_10.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_18.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_19.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_9.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.50.50/aug_8.png,Screenshot 2024-08-05 at 17.50.50
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_6.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_7.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_5.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_4.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_0.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_1.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_3.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_2.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_14.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_15.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_17.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_16.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_12.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_13.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_11.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_10.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_18.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_19.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_9.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.54.56/aug_8.png,Screenshot 2024-08-05 at 17.54.56
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_6.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_7.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_5.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_4.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_0.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_1.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_3.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_2.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_14.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_15.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_17.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_16.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_12.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_13.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_11.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_10.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_18.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_19.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_9.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.47.25/aug_8.png,Screenshot 2024-08-05 at 17.47.25
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_6.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_7.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_5.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_4.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_0.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_1.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_3.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_2.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_14.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_15.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_17.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_16.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_12.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_13.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_11.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_10.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_18.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_19.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_9.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.31.51/aug_8.png,Screenshot 2024-08-05 at 17.31.51
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_6.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_7.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_5.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_4.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_0.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_1.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_3.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_2.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_14.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_15.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_17.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_16.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_12.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_13.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_11.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_10.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_18.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_19.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_9.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.15/aug_8.png,Screenshot 2024-08-05 at 17.43.15
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_6.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_7.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_5.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_4.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_0.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_1.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_3.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_2.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_14.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_15.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_17.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_16.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_12.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_13.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_11.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_10.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_18.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_19.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_9.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.43.12/aug_8.png,Screenshot 2024-08-05 at 17.43.12
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_6.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_7.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_5.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_4.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_0.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_1.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_3.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_2.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_14.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_15.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_17.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_16.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_12.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_13.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_11.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_10.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_18.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_19.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_9.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.47.22/aug_8.png,Screenshot 2024-08-05 at 17.47.22
augmented_symbols/Screenshot 2024-08-05 at 17.50.35/aug_6.png,Screenshot 2024-08-05 at 17.50.35
augmented_symbols/Screenshot 2024-08-05 at 17.50.35/aug_7.png,Screenshot 2024-08-05 at 17.50.35
augmented_symbols/Screenshot 2024-08-05 at 17.50.35/aug_5.png,Screenshot 2024-08-05 at 17.50.35
augmented_symbols/Screenshot 2024-08-05 at 17.50.35/aug_4.png,Screenshot 2024-08-05 at 17.50.35
augmented_symbols/Screenshot 2024-08-05 at 17.50.35/aug_0.png,Screenshot 2024-08-05 at 17.50.35
